Paula painted a cake in a closet .	paint ( agent = Paula , theme = cake ( nmod . in = closet ) )
Zoe thought that a hippo cleaned .	think ( agent = Zoe , ccomp = clean ( agent = hippo ) )
The princess teleported a cookie to the goose .	teleport ( agent = * princess , theme = cookie , recipient = * goose )
A cockroach gave a pretzel to Olivia .	give ( agent = cockroach , theme = pretzel , recipient = Olivia )
The girl hoped that the hippo painted .	hope ( agent = * girl , ccomp = paint ( agent = * hippo ) )
Emma declared that a cobra grew .	declare ( agent = Emma , ccomp = grow ( theme = cobra ) )
William tolerated that Charlie fed the cake on the stage to the boy .	tolerate ( agent = William , ccomp = feed ( agent = Charlie , theme = * cake ( nmod . on = * stage ) , recipient = * boy ) )
Paula promised a chair beside the computer to Emma .	promise ( agent = Paula , theme = chair ( nmod . beside = * computer ) , recipient = Emma )
The queen froze the strawberry in the cabinet beside the shoe on the chair in the box on a road on a rock on a bench in a cage beside the bed on a vessel on the table beside the book .	freeze ( agent = * queen , theme = * strawberry ( nmod . in = * cabinet ( nmod . beside = * shoe ( nmod . on = * chair ( nmod . in = * box ( nmod . on = road ( nmod . on = rock ( nmod . on = bench ( nmod . in = cage ( nmod . beside = * bed ( nmod . on = vessel ( nmod . on = * table ( nmod . beside = * book ) ) ) ) ) ) ) ) ) ) ) ) )
Charlie loaned the cake in a house to the girl .	loan ( agent = Charlie , theme = * cake ( nmod . in = house ) , recipient = * girl )
A girl valued that Samuel admired that a monkey liked that Luna liked that Oliver respected that Savannah hoped that a penguin noticed that Emma noticed that the lawyer noticed that a cake grew .	value ( agent = girl , ccomp = admire ( agent = Samuel , ccomp = like ( agent = monkey , ccomp = like ( agent = Luna , ccomp = respect ( agent = Oliver , ccomp = hope ( agent = Savannah , ccomp = notice ( agent = penguin , ccomp = notice ( agent = Emma , ccomp = notice ( agent = * lawyer , ccomp = grow ( theme = cake ) ) ) ) ) ) ) ) ) )
James rolled Paula .	roll ( agent = James , theme = Paula )
Jaxon squeezed the cookie in the bucket .	squeeze ( agent = Jaxon , theme = * cookie ( nmod . in = * bucket ) )
A shark gave the plate in a bottle to the girl .	give ( agent = shark , theme = * plate ( nmod . in = bottle ) , recipient = * girl )
The cockroach loaned Liam the donut .	loan ( agent = * cockroach , recipient = Liam , theme = * donut )
The girl shipped the cat the brush beside a machine .	ship ( agent = * girl , recipient = * cat , theme = * brush ( nmod . beside = machine ) )
The baby on a tray in the house screamed .	scream ( agent = * baby ( nmod . on = tray ( nmod . in = * house ) ) )
Noah shipped Olivia a chair on a bed .	ship ( agent = Noah , recipient = Olivia , theme = chair ( nmod . on = bed ) )
The governor teleported a cake in a cabinet to Logan .	teleport ( agent = * governor , theme = cake ( nmod . in = cabinet ) , recipient = Logan )
A poet baked the cake .	bake ( agent = poet , theme = * cake )
The spokesman in the house served Emma the rose .	serve ( agent = * spokesman ( nmod . in = * house ) , recipient = Emma , theme = * rose )
A donkey in the room sold Ella a donut .	sell ( agent = donkey ( nmod . in = * room ) , recipient = Ella , theme = donut )
Emma supported that the hippo smirked .	support ( agent = Emma , ccomp = smirk ( agent = * hippo ) )
The boy needed to crawl .	need ( agent = * boy , xcomp = crawl ( agent = * boy ) )
Charlie gave a spoon to Liam .	give ( agent = Charlie , theme = spoon , recipient = Liam )
Emma wired Paula to Sophia .	wire ( agent = Emma , theme = Paula , recipient = Sophia )
The crocodile shipped the boy a raisin .	ship ( agent = * crocodile , recipient = * boy , theme = raisin )
The teacher teleported the cake on the dog to a bear .	teleport ( agent = * teacher , theme = * cake ( nmod . on = * dog ) , recipient = bear )
A prisoner attempted to crawl .	attempt ( agent = prisoner , xcomp = crawl ( agent = prisoner ) )
The frog yearned to crawl .	yearn ( agent = * frog , xcomp = crawl ( agent = * frog ) )
The dog liked that the hippo danced .	like ( agent = * dog , ccomp = dance ( agent = * hippo ) )
Grace shipped Emma the cake on the table .	ship ( agent = Grace , recipient = Emma , theme = * cake ( nmod . on = * table ) )
The bee hoped that the girl said that Olivia said that Liam liked that Lincoln liked that James liked that the boy liked that the writer appreciated that a giraffe declared that Emma meant that a professor liked that a bean slid .	hope ( agent = * bee , ccomp = say ( agent = * girl , ccomp = say ( agent = Olivia , ccomp = like ( agent = Liam , ccomp = like ( agent = Lincoln , ccomp = like ( agent = James , ccomp = like ( agent = * boy , ccomp = appreciate ( agent = * writer , ccomp = declare ( agent = giraffe , ccomp = mean ( agent = Emma , ccomp = like ( agent = professor , ccomp = slide ( theme = bean ) ) ) ) ) ) ) ) ) ) ) )
Emma liked that Caleb shipped Liam a box .	like ( agent = Emma , ccomp = ship ( agent = Caleb , recipient = Liam , theme = box ) )
The cat shipped Emma the donut .	ship ( agent = * cat , recipient = Emma , theme = * donut )
Aria baked a girl in the box .	bake ( agent = Aria , theme = girl ( nmod . in = * box ) )
The customer admired the shark .	admire ( agent = * customer , theme = * shark )
Noah liked that a cookie was blessed .	like ( agent = Noah , ccomp = bless ( theme = cookie ) )
Aiden liked that Liam liked that Avery appreciated that the dog expected that a cat liked that Emma appreciated that a donut was loved .	like ( agent = Aiden , ccomp = like ( agent = Liam , ccomp = appreciate ( agent = Avery , ccomp = expect ( agent = * dog , ccomp = like ( agent = cat , ccomp = appreciate ( agent = Emma , ccomp = love ( theme = donut ) ) ) ) ) ) )
The shark loved to sneeze .	love ( agent = * shark , xcomp = sneeze ( agent = * shark ) )
Emma declared that a cobra burned .	declare ( agent = Emma , ccomp = burn ( theme = cobra ) )
